time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
3825,5923;100,0000;0,4314;59,3103;0,9183;59,3103
3842,4798;100,0000;0,4435;62,0690;0,8812;62,0690
3859,1345;100,0000;0,4176;65,8621;0,8131;65,8621
3875,5498;100,0000;0,4191;57,9310;0,9077;57,9310
3892,7510;100,0000;0,4262;59,3103;0,8895;59,3103
3909,4195;100,0000;0,4429;62,4138;0,8398;62,4138
3926,7022;100,0000;0,4404;62,7586;0,8296;62,7586
3943,1314;100,0000;0,4265;64,1379;0,8798;64,1379
3959,6819;99,3080;0,4498;66,2069;0,8426;66,2069
3975,8935;100,0000;0,4261;66,2069;0,8304;66,2069
3992,4172;99,3080;0,4440;65,5172;0,8335;65,5172
4009,1618;100,0000;0,4132;63,7931;0,8585;63,7931
4026,2610;98,6159;0,4746;63,4483;0,8765;63,4483
4042,8892;100,0000;0,4133;64,1379;0,8576;64,1379
4060,3650;100,0000;0,4110;66,8966;0,8396;66,8966
4077,2105;100,0000;0,4093;57,5862;0,9225;57,5862
4094,1040;100,0000;0,4240;63,7931;0,8704;63,7931
4111,2512;100,0000;0,4142;65,5172;0,8548;65,5172
4127,4177;100,0000;0,4141;64,4828;0,8462;64,4828
4144,1671;100,0000;0,4046;57,2414;0,9061;57,2414
4160,4378;100,0000;0,4088;64,4828;0,8601;64,4828
4176,4511;100,0000;0,4097;57,9310;0,8760;57,9310
4193,3370;100,0000;0,4173;67,2414;0,8286;67,2414
4209,9832;100,0000;0,4103;61,7241;0,8505;61,7241
4226,3285;100,0000;0,4135;64,4828;0,8323;64,4828
4242,3114;100,0000;0,4119;62,0690;0,8442;62,0690
4258,6197;100,0000;0,4096;62,7586;0,8366;62,7586
4274,7874;100,0000;0,4052;64,4828;0,8304;64,4828
4291,0414;100,0000;0,4123;61,0345;0,8508;61,0345
4307,1434;100,0000;0,4041;65,8621;0,8239;65,8621
4323,7539;100,0000;0,4108;60,6897;0,8617;60,6897
4340,2353;100,0000;0,4038;65,1724;0,8478;65,1724
4356,9103;100,0000;0,4101;60,0000;0,8634;60,0000
4373,3212;100,0000;0,4016;65,1724;0,8446;65,1724
4389,7942;100,0000;0,4118;68,2759;0,8274;68,2759
4406,2097;100,0000;0,4082;64,4828;0,8356;64,4828
4422,2434;100,0000;0,4042;64,8276;0,8281;64,8276
4439,1990;100,0000;0,4042;63,4483;0,8447;63,4483
4455,7887;100,0000;0,3987;64,4828;0,8509;64,4828
4472,8519;100,0000;0,4076;62,7586;0,8476;62,7586
