inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-0.0-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.008200526237487793;0.008200526237487793;0.9003665447235107;0.0;0.8645155429840088;0.8645155429840088;0.9615749716758728;0.0
0.008227571845054626;0.008227571845054626;0.9865836501121521;0.0;0.8654147982597351;1.3338648080825806;0.8654147982597351;0.0
0.008246824145317078;0.008246824145317078;0.9815566539764404;0.0;0.8672488331794739;1.2036261558532715;0.8672488331794739;0.0
0.008265495300292969;0.008265495300292969;0.7364381551742554;0.0;0.867446780204773;1.4210195541381836;0.867446780204773;0.0
0.00839117169380188;0.00839117169380188;0.9867200255393982;0.0;0.8736014366149902;1.2288156747817993;0.8736014366149902;0.0
0.008404016494750977;0.008404016494750977;0.9946549534797668;0.0;0.876605212688446;1.254022240638733;0.876605212688446;0.0
0.008464932441711426;0.008464932441711426;0.9968988299369812;0.0;0.8844068050384521;1.3278084993362427;0.8844068050384521;0.0
0.0084666907787323;0.0084666907787323;0.9594317674636841;0.0;0.8871190547943115;1.2094475030899048;0.8871190547943115;0.0
0.008483707904815674;0.008483707904815674;0.9242447018623352;0.0;0.8876975774765015;2.4637913703918457;0.8876975774765015;0.0
0.008508235216140747;0.008508235216140747;0.9466432929039001;0.0;0.8952089548110962;1.0716626644134521;0.8952089548110962;0.0
0.008532226085662842;0.008532226085662842;0.8739016056060791;0.0;0.8957224488258362;1.0860130786895752;0.8957224488258362;0.0
0.00853806734085083;0.00853806734085083;0.9642750024795532;0.0;0.8966057896614075;1.8485900163650513;0.8966057896614075;0.0
0.008547782897949219;0.008547782897949219;0.9945901036262512;0.0;0.8980516195297241;1.3450831174850464;0.8980516195297241;0.0
0.008551716804504395;0.008551716804504395;0.9362820386886597;0.0;0.8986832499504089;1.4104686975479126;0.8986832499504089;0.0
0.008559048175811768;0.008559048175811768;0.8216443061828613;0.0;0.9012536406517029;1.3653829097747803;0.9012536406517029;0.0
0.008577138185501099;0.008577138185501099;0.9636844396591187;0.0;0.9014180898666382;0.9014180898666382;1.0801644325256348;0.0
0.008593112230300903;0.008593112230300903;0.8972476720809937;0.0;0.9015249609947205;1.86273193359375;0.9015249609947205;0.0
0.008616387844085693;0.008616387844085693;0.9017409682273865;0.0;0.9069341421127319;2.0227718353271484;0.9069341421127319;0.0
0.008618414402008057;0.008618414402008057;0.8287002444267273;0.0;0.9072948694229126;1.558933973312378;0.9072948694229126;0.0
0.008624672889709473;0.008624672889709473;0.8422750234603882;0.0;0.9086209535598755;1.027511715888977;0.9086209535598755;0.0
0.00865337997674942;0.00865337997674942;0.8189690709114075;0.0;0.9100996255874634;1.1806132793426514;0.9100996255874634;0.0
0.008674293756484985;0.008674293756484985;0.9955169558525085;0.0;0.91078120470047;1.2229973077774048;0.91078120470047;0.0
0.008723944425582886;0.008723944425582886;0.8764674663543701;0.0;0.911528468132019;1.0711238384246826;0.911528468132019;0.0
0.0087975412607193;0.0087975412607193;0.8998338580131531;0.0;0.9116766452789307;0.9116766452789307;1.0544100999832153;0.0
0.008845418691635132;0.008845418691635132;0.9627487659454346;0.0;0.9167460203170776;1.091632604598999;0.9167460203170776;0.0
0.008967101573944092;0.008967101573944092;0.9958804249763489;0.0;0.9178944826126099;1.0737556219100952;0.9178944826126099;0.0
0.009018123149871826;0.009018123149871826;0.8750059604644775;0.0;0.9187375903129578;2.6928234100341797;0.9187375903129578;0.0
0.009050726890563965;0.009050726890563965;0.9909632802009583;0.0;0.9203490018844604;1.3054033517837524;0.9203490018844604;0.0
0.009124696254730225;0.009124696254730225;0.8200229406356812;0.0;0.9239104986190796;0.9239104986190796;1.3833746910095215;0.0
